f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,label
75,43,18,25,57,47,14,27,52,37,0
2,91,76,2,92,8,26,5,4,83,0
3,53,16,62,12,96,51,50,80,59,0
75,16,57,49,38,1,58,46,32,60,1
7,56,21,88,35,60,82,66,47,54,1
53,6,2,91,66,75,54,3,3,14,0
18,27,24,85,4,31,76,59,47,62,0
20,68,87,45,59,76,95,73,37,84,0
57,70,79,41,55,7,72,2,18,38,0
47,38,14,75,5,69,77,0,46,6,1
10,85,13,4,28,84,14,20,5,44,0
21,71,90,71,60,88,80,39,44,95,0
90,26,98,66,3,82,70,49,69,73,1
47,76,69,54,47,89,48,82,41,61,0
88,39,94,40,14,69,73,19,40,42,0
18,23,57,67,56,16,70,48,68,86,1
18,4,21,43,5,72,73,39,30,55,1
11,99,4,10,11,39,78,76,8,77,0
6,13,84,49,87,74,69,61,47,9,1
60,44,45,20,37,6,40,14,88,22,0
87,32,13,13,95,22,20,12,72,50,0
74,49,18,59,29,26,67,23,6,38,1
1,38,68,95,40,39,85,64,65,50,0
4,79,16,17,51,17,77,72,32,98,0
95,13,40,74,7,10,0,60,2,42,1
26,4,92,21,47,3,5,89,75,17,1
13,64,52,63,13,68,67,50,76,61,0
48,79,58,68,20,13,19,22,29,85,1
62,19,90,45,94,29,59,80,58,53,0
65,10,39,90,85,80,72,79,73,76,0
25,14,90,83,69,72,9,67,93,69,0
44,54,26,95,28,79,46,74,52,48,0
96,29,11,61,51,28,0,56,22,59,1
88,59,10,4,60,34,24,54,92,95,0
54,71,89,3,23,67,13,11,64,45,0
65,88,42,47,21,26,80,4,36,31,1
75,5,61,90,38,91,5,52,69,19,1
0,33,3,31,89,52,86,28,21,64,0
20,83,1,82,24,71,79,45,63,76,1
39,78,53,80,13,37,49,26,43,33,0
41,16,52,38,47,20,21,88,50,61,1
16,76,51,72,42,57,68,63,44,93,0
68,27,10,7,24,95,3,79,33,67,1
65,29,71,60,98,49,65,72,46,43,1
85,51,49,36,17,81,1,65,98,90,1
4,37,16,66,60,56,64,46,72,96,0
67,54,52,93,50,26,48,77,76,59,0
39,95,50,25,7,96,0,50,97,83,1
65,2,59,99,89,21,13,1,50,0,1
92,0,72,17,59,35,82,29,75,0,1
13,56,10,75,16,65,27,44,94,99,0
33,81,8,58,85,47,13,7,69,66,1
59,34,89,65,43,20,74,19,61,53,0
92,61,75,9,74,70,36,96,96,97,1
87,86,1,85,69,96,99,85,18,55,1
41,21,94,66,24,12,28,30,89,38,0
81,36,87,10,42,79,77,5,97,77,0
47,21,28,77,74,60,66,99,25,35,1
25,74,83,24,15,90,90,19,96,4,0
78,64,18,79,21,62,14,7,63,70,1
50,64,48,50,59,40,52,40,33,89,0
86,66,0,38,35,28,26,60,10,54,1
68,42,4,32,50,2,47,86,50,13,0
7,3,60,11,85,55,60,37,97,35,0
23,88,36,40,84,48,39,82,75,18,1
15,7,92,94,47,37,21,78,83,35,1
34,89,88,23,21,29,84,43,21,39,0
89,43,93,98,90,8,50,68,86,15,1
11,61,69,61,32,41,59,5,79,3,0
11,25,87,2,53,23,59,30,39,84,0
32,83,88,40,92,52,46,19,18,86,0
16,41,9,95,75,15,0,22,54,81,0
84,73,67,87,17,66,24,64,55,21,0
25,2,49,69,21,39,93,13,14,91,1
27,74,35,86,66,25,7,8,40,88,1
31,40,52,43,73,7,25,13,76,38,0
63,90,84,50,2,80,84,10,63,62,1
74,96,33,24,91,12,78,32,10,44,0
88,68,96,65,96,74,97,36,86,17,0
37,73,24,29,91,63,19,74,96,17,1
14,70,34,45,80,30,14,75,68,20,0
16,75,41,22,2,19,41,4,78,31,0
49,47,42,96,13,81,67,63,69,73,1
22,88,10,42,29,5,41,46,79,35,0
49,21,59,39,91,59,18,19,28,80,1
73,26,87,69,52,73,1,81,82,10,1
70,94,90,9,68,90,33,35,58,81,1
67,23,36,83,69,51,8,42,1,80,1
63,39,48,99,22,90,80,97,6,87,1
42,49,95,8,29,42,95,90,81,15,1
50,82,47,25,68,51,15,52,76,39,0
27,11,36,2,66,14,61,6,22,96,1
44,39,64,2,7,53,84,26,61,29,1
1,10,6,99,8,72,9,20,38,44,1
57,48,28,33,88,92,69,87,40,84,1
48,64,54,51,75,40,33,77,87,22,0
88,74,54,3,79,2,46,96,75,26,0
42,38,52,59,94,73,66,3,78,8,1
85,6,72,45,65,25,28,26,97,77,1
36,45,42,16,50,95,11,57,74,86,1
98,25,55,11,42,83,50,32,84,4,1
91,0,26,6,98,20,3,89,25,36,1
12,36,92,0,3,4,68,87,30,57,1
94,51,67,49,45,14,1,38,96,24,1
84,97,87,35,45,52,3,69,11,72,0
17,6,97,3,1,12,63,35,47,18,0
91,45,85,95,0,20,66,96,28,0,1
78,61,0,84,59,17,0,10,79,35,1
1,30,61,22,31,43,75,85,50,35,0
95,92,77,41,64,65,60,40,45,78,1
12,89,76,40,43,73,59,3,52,51,0
7,49,15,59,45,8,97,65,16,60,1
30,4,48,69,73,62,40,0,13,45,1
40,96,52,56,31,43,69,21,33,63,0
70,24,67,59,29,70,96,84,45,29,1
36,92,64,88,41,26,36,51,19,11,1
96,57,14,3,74,77,64,28,8,30,1
74,27,63,0,74,52,35,10,97,83,1
33,46,14,94,48,83,70,92,87,25,1
18,42,36,14,25,69,70,66,55,53,1
8,54,3,59,81,7,4,68,35,51,1
12,3,49,77,39,99,89,95,54,72,1
5,75,13,55,82,10,47,46,25,70,0
70,9,65,72,30,73,33,49,47,24,1
52,61,67,21,54,89,82,86,30,27,0
38,64,68,64,95,58,14,40,21,80,0
3,70,85,31,56,17,83,14,51,39,1
93,50,63,6,66,30,84,90,6,43,1
59,13,27,26,6,25,36,26,3,44,0
2,0,9,82,64,65,16,37,60,43,0
91,25,48,42,37,97,60,67,25,68,1
9,7,9,24,44,24,74,51,59,9,0
44,70,35,61,91,90,27,3,46,63,1
28,24,48,10,74,42,34,78,77,36,0
52,80,21,29,2,96,81,1,77,1,1
27,88,13,45,96,96,11,6,6,3,0
26,53,56,80,93,60,7,98,31,7,1
9,95,3,66,53,23,67,29,19,88,0
36,76,5,22,96,98,93,15,93,72,0
84,7,24,99,98,90,67,70,79,27,1
18,98,41,65,98,56,74,7,97,19,0
80,89,64,48,27,84,41,39,59,14,1
66,85,10,27,47,7,75,81,2,48,0
78,47,99,77,78,29,28,36,41,84,1
44,21,80,45,43,96,38,60,10,16,0
82,73,12,42,21,96,55,47,54,1,0
69,92,22,27,98,22,65,8,80,26,1
6,5,67,80,75,68,15,14,19,17,0
22,82,95,0,92,41,34,79,76,49,0
22,8,12,32,58,22,29,18,72,6,0
27,88,74,95,32,90,15,18,28,10,0
14,58,34,80,60,30,78,92,81,68,0
32,2,68,97,10,35,38,45,76,63,0
40,13,12,22,9,74,86,90,84,55,0
39,60,43,74,76,83,6,28,7,66,1
57,72,69,5,38,44,48,92,20,50,0
14,67,98,43,47,0,64,32,53,63,1
72,99,41,71,33,68,54,77,43,78,0
18,40,41,27,61,24,19,22,15,32,0
37,38,37,8,92,56,11,38,28,57,1
53,22,52,96,48,43,76,42,81,40,0
92,4,21,67,14,3,0,96,14,6,1
18,81,22,10,22,73,49,5,46,10,1
51,81,98,35,88,49,1,42,43,42,1
49,16,94,77,3,91,25,63,19,77,0
40,38,85,8,72,63,11,9,19,71,1
58,30,70,64,19,50,35,22,18,78,1
44,83,59,87,54,41,29,47,14,84,0
56,78,60,58,54,65,78,9,37,5,1
15,54,27,67,57,4,84,71,60,60,0
56,81,50,39,90,37,60,17,31,38,1
74,97,45,15,78,87,89,68,67,52,0
1,56,36,78,82,97,48,76,54,59,1
16,90,99,93,54,42,24,87,74,1,1
8,64,10,44,65,8,10,36,54,89,0
64,67,45,69,6,10,59,94,77,88,1
25,43,72,12,12,11,23,20,70,89,0
30,81,87,21,65,93,46,84,13,86,0
57,40,73,45,4,67,57,60,61,56,0
22,25,13,82,38,17,37,35,8,69,0
39,5,15,6,5,90,39,39,36,87,1
99,57,99,87,38,96,75,64,80,89,1
1,53,49,47,39,67,32,84,26,49,1
13,55,31,39,26,73,25,65,37,74,1
98,30,79,67,45,51,53,42,68,79,1
87,93,96,15,21,95,9,44,65,96,0
28,94,21,61,40,10,17,60,13,17,1
23,3,25,6,60,39,90,58,0,39,0
56,49,79,15,94,73,81,47,76,80,0
23,66,70,7,27,87,83,60,96,84,1
23,78,0,40,7,13,40,39,64,82,1
48,18,75,78,21,25,78,84,64,86,1
9,56,78,57,96,41,49,20,33,3,1
44,42,77,44,55,62,19,72,99,66,1
96,45,15,17,26,4,53,47,81,87,1
34,79,17,16,50,3,6,1,58,75,0
12,60,37,89,73,66,31,35,11,17,1
83,90,99,58,52,51,90,27,50,30,1
59,72,21,27,86,63,40,39,88,66,1
15,4,60,82,80,1,81,18,53,77,0
72,65,9,98,97,27,52,21,15,7,1
61,12,0,79,50,93,47,8,34,69,1
37,95,48,43,94,8,92,50,91,65,0
81,55,16,18,46,13,42,14,53,16,1
74,35,82,8,20,17,25,24,50,76,1
97,49,80,29,63,22,5,83,7,88,1
32,75,22,66,19,3,8,79,75,50,1
82,2,95,75,18,91,52,96,88,39,1
39,39,14,66,7,12,88,36,68,53,1
41,61,60,58,23,89,1,47,84,50,1
71,54,39,89,56,79,33,2,67,76,1
55,18,55,20,21,19,48,3,23,28,0
77,37,33,18,23,71,71,0,97,24,1
14,19,54,17,1,40,64,98,57,37,0
93,7,92,70,47,59,22,40,47,57,1
1,91,50,61,71,18,34,93,4,31,1
37,62,2,83,75,49,5,31,64,66,0
9,18,93,51,62,97,75,31,81,59,0
22,81,98,47,80,65,30,53,80,66,1
12,25,42,98,79,98,97,53,79,70,1
1,64,67,77,78,49,43,95,60,62,0
39,95,18,28,58,40,76,97,69,45,1
93,60,0,56,83,61,4,57,78,61,1
69,41,43,40,0,50,38,56,27,65,1
54,25,28,56,13,63,49,39,59,89,1
65,34,70,90,78,49,95,36,92,84,1
54,78,9,80,96,9,66,44,80,33,0
33,73,90,52,51,35,31,61,11,37,0
77,48,40,80,34,4,42,33,17,93,0
15,55,7,73,88,38,85,41,69,39,1
41,55,19,87,93,19,95,33,58,45,0
65,9,93,71,41,58,23,40,77,75,0
52,81,61,99,5,6,16,41,71,44,1
70,25,59,94,11,30,33,96,93,89,1
23,43,24,22,6,86,23,12,66,93,0
30,96,84,27,11,80,58,23,93,2,1
52,7,96,35,56,37,84,3,67,81,0
67,85,35,42,34,5,93,62,46,91,1
97,71,61,45,82,93,64,59,94,69,0
4,52,99,17,37,90,69,21,1,49,1
46,34,10,55,44,57,75,64,71,98,0
95,39,63,54,94,35,46,30,11,67,1
99,10,75,35,58,43,95,51,47,20,1
6,1,44,59,53,95,93,26,18,98,1
1,56,56,76,5,59,45,53,78,59,1
49,23,79,77,15,19,31,39,13,74,0
24,13,37,65,89,59,44,9,50,54,0
3,32,45,57,64,92,54,36,28,14,0
33,47,65,88,0,88,76,64,23,43,1
5,8,72,50,0,84,7,60,95,38,0
33,38,91,98,46,4,17,26,41,70,1
80,97,7,0,41,25,65,60,90,54,1
0,2,46,4,59,33,17,83,37,5,0
76,45,80,10,54,28,26,48,5,39,0
76,67,60,57,16,17,89,13,10,88,0
30,29,68,95,48,80,9,80,7,46,0
26,66,55,85,98,1,41,79,71,10,0
31,91,47,25,10,78,24,58,59,98,0
68,8,77,76,61,71,36,20,9,91,1
65,89,91,31,34,55,67,37,17,52,1
76,22,73,63,64,76,34,54,9,69,1
93,60,30,4,5,40,51,7,14,55,0
23,77,85,36,33,75,91,75,72,74,1
91,91,72,72,92,13,80,68,26,79,0
6,13,70,53,49,47,55,43,49,62,1
89,45,3,59,9,49,11,95,25,91,1
17,99,13,12,20,0,28,11,8,49,0
8,94,66,96,19,17,19,15,58,43,0
53,47,98,8,64,52,6,93,27,91,1
49,71,83,15,89,25,34,77,33,46,0
73,23,12,6,65,83,78,95,38,28,1
39,56,24,29,64,86,5,8,39,61,1
29,29,38,36,55,2,21,75,23,96,0
19,45,83,75,61,81,90,30,35,34,0
22,58,3,93,77,58,98,2,59,32,0
90,27,39,82,48,63,68,21,87,4,1
51,22,89,55,58,84,41,19,19,99,0
7,91,0,53,81,72,99,52,20,23,1
47,16,6,35,57,29,93,73,37,51,0
98,59,90,95,49,28,12,79,20,72,0
90,96,66,77,62,79,35,37,18,61,0
43,53,81,5,88,93,82,1,25,57,0
33,14,55,77,14,71,41,85,27,36,0
23,33,12,92,23,34,94,16,31,60,0
69,74,72,55,87,89,73,37,20,40,0
46,19,55,58,2,87,70,22,53,77,1
10,98,41,90,10,47,16,73,40,38,0
37,67,44,58,15,2,93,47,40,83,1
10,20,93,41,18,77,72,25,95,62,0
64,38,55,30,97,84,82,83,77,87,0
16,56,7,83,10,18,30,29,78,83,1
92,50,65,36,15,27,70,49,67,57,0
69,5,99,2,32,56,42,81,25,37,1
43,96,23,50,25,23,64,10,10,73,0
21,52,70,1,77,77,15,16,99,20,1
38,17,84,24,79,38,5,73,97,68,1
94,47,68,34,48,46,87,2,12,5,0
21,12,11,50,28,6,25,90,33,12,0
53,88,25,93,71,7,30,87,30,95,0
96,22,25,63,80,0,76,23,67,85,1
75,56,4,15,0,85,6,98,3,32,0
19,23,36,65,84,3,9,58,38,22,1
75,46,20,53,62,63,74,45,58,38,0
7,63,80,99,85,32,35,27,84,74,1
7,28,26,60,75,78,14,93,80,84,0
53,49,55,29,73,32,66,9,74,60,1
24,56,98,54,5,57,96,17,35,48,1
60,85,1,2,58,25,33,79,46,76,1
90,80,41,89,23,58,77,97,68,92,1
97,22,60,6,28,83,73,99,81,3,1
22,95,65,32,56,14,63,54,39,55,0
57,35,34,40,78,3,30,66,49,56,0
38,89,16,89,24,96,82,87,45,19,1
40,85,89,31,75,12,32,19,65,32,0
26,45,5,70,3,21,28,28,91,80,0
71,54,24,31,57,92,71,13,75,84,0
72,97,44,88,29,64,96,28,20,75,1
16,1,40,29,28,14,17,34,38,26,1
10,62,69,22,34,40,46,1,87,59,0
94,52,75,56,15,33,94,84,82,88,0
78,80,27,44,32,59,46,62,33,89,0
97,50,75,76,18,77,38,96,69,47,0
7,54,23,88,61,53,58,49,95,40,1
93,78,19,41,73,84,7,35,98,72,0
87,48,31,18,72,44,9,7,65,77,1
37,97,88,71,29,65,57,7,7,15,0
18,51,46,26,3,67,20,15,71,5,0
44,58,25,32,28,33,35,65,74,55,0
91,78,39,40,93,97,89,4,92,16,0
90,20,5,29,93,60,14,10,94,13,1
48,6,11,64,94,56,32,43,26,70,0
67,91,59,14,5,78,61,90,66,17,0
3,1,97,61,98,12,94,55,95,31,0
31,22,8,95,80,24,77,36,84,91,1
59,19,97,41,52,39,67,89,52,86,0
63,50,29,33,94,35,6,8,5,30,1
98,40,19,79,25,96,68,69,91,27,1
41,51,23,70,72,97,80,47,32,8,0
50,79,99,30,52,45,59,17,83,53,1
73,51,46,17,6,34,83,68,95,5,0
18,1,77,46,74,67,37,66,9,63,1
96,30,0,99,26,23,18,37,19,16,1
89,70,96,48,36,61,20,57,94,79,1
11,2,83,16,96,8,17,85,83,97,0
54,99,77,64,51,98,36,75,55,40,1
57,95,52,14,59,30,31,75,95,68,0
39,60,3,31,97,28,90,55,22,70,0
50,65,53,41,21,61,84,74,52,95,0
20,35,56,30,48,85,37,89,79,10,1
21,22,7,65,76,29,93,84,34,44,1
60,44,28,64,7,80,87,0,93,1,1
88,16,83,89,91,67,75,30,19,98,1
70,9,29,72,3,72,45,23,26,93,1
4,76,95,6,77,31,71,29,96,50,0
26,59,19,64,3,44,62,37,85,66,0
7,14,14,95,35,72,14,45,72,41,1
71,14,25,21,63,16,55,8,56,30,1
67,72,47,0,77,31,77,43,57,49,0
60,75,75,95,37,77,37,74,28,34,0
72,36,81,59,94,41,74,3,30,46,1
36,71,35,68,8,64,10,27,46,31,1
74,58,2,78,75,38,58,25,72,47,1
4,44,39,45,71,62,87,28,2,56,0
58,52,19,68,14,67,34,60,60,32,1
10,28,35,20,36,11,82,55,8,22,1
14,21,80,85,96,77,47,50,20,92,0
0,17,25,42,1,37,8,48,52,58,0
94,3,79,11,3,90,35,38,61,29,1
29,75,53,15,27,68,98,64,7,66,0
12,17,14,8,45,20,69,49,84,27,1
77,94,14,30,98,73,68,93,88,96,1
29,5,44,37,8,77,34,77,72,96,0
73,39,79,96,98,47,0,59,85,96,0
8,52,23,1,37,30,20,91,77,38,0
11,41,53,17,82,35,26,49,49,3,0
85,63,97,57,14,91,40,85,46,54,0
64,9,97,66,3,24,32,55,78,45,0
8,45,82,81,49,71,90,28,80,86,0
2,46,43,24,73,24,96,96,89,69,1
45,82,63,49,79,34,41,76,87,47,1
95,9,69,23,83,92,37,62,12,37,1
75,60,38,35,95,84,5,32,0,17,0
27,12,45,11,24,66,17,94,46,77,0
30,2,14,68,12,51,16,88,35,17,1
41,77,88,13,71,3,16,39,59,30,0
28,88,65,99,15,89,77,63,67,9,1
15,74,34,18,8,61,91,10,13,18,1
61,29,83,28,67,64,10,5,77,23,1
10,69,16,54,67,20,35,9,45,48,0
99,35,44,39,65,90,78,60,72,24,1
65,89,88,93,53,48,55,25,76,55,0
47,47,13,92,66,26,11,70,63,37,0
55,60,70,22,83,87,93,26,85,54,1
60,89,94,35,78,19,90,86,23,59,0
65,72,98,62,3,43,52,57,75,89,1
47,50,72,45,63,96,80,61,15,57,0
0,98,42,48,77,50,26,26,66,83,1
64,68,6,92,54,92,64,44,45,2,0
4,35,74,93,89,66,98,2,85,69,0
63,18,28,17,7,80,89,17,29,72,1
14,30,48,6,33,33,75,38,20,40,0
8,21,24,87,7,56,64,99,6,26,0
65,13,90,67,48,46,94,85,16,70,0
38,65,95,37,92,30,14,33,27,80,0
81,89,53,76,89,90,74,62,70,80,0
83,30,39,74,82,68,61,23,50,50,1
58,62,83,31,83,80,37,5,44,77,0
95,30,15,42,9,23,2,24,64,56,1
66,67,31,24,71,65,54,10,94,61,0
63,27,0,88,72,87,49,54,84,7,1
35,18,39,30,18,94,96,52,15,29,0
36,49,64,95,26,45,29,5,7,42,1
73,65,36,57,3,15,79,26,6,92,1
71,68,75,8,11,56,95,49,15,48,1
67,20,0,41,64,86,49,90,5,14,1
53,82,94,60,73,25,9,38,44,22,0
40,46,26,85,15,48,77,91,48,87,0
66,8,58,6,78,98,77,13,34,21,0
33,45,33,60,96,7,51,24,67,6,0
72,57,7,16,86,89,49,66,64,63,1
35,57,32,62,0,11,23,69,50,41,0
17,81,2,88,20,92,80,18,49,11,1
44,88,34,58,32,21,81,10,72,33,1
87,21,11,83,80,19,17,86,6,2,1
23,3,92,4,69,93,58,79,56,85,1
57,78,12,27,63,72,76,84,8,58,0
92,2,70,67,35,0,64,37,7,44,1
47,98,19,10,92,68,7,36,77,18,0
85,22,56,57,45,90,80,58,25,7,1
93,93,89,96,0,0,8,94,94,67,0
39,46,85,66,63,29,44,82,41,86,1
57,39,0,53,38,18,81,30,15,9,1
30,2,96,32,21,42,78,71,3,14,0
88,97,66,82,50,13,39,9,27,21,0
58,21,20,0,10,42,9,55,37,67,0
18,66,24,5,94,89,45,4,40,8,0
54,97,3,56,17,32,65,50,41,8,0
11,72,80,33,16,24,75,39,89,17,0
80,44,60,16,35,11,13,54,52,40,0
97,90,96,4,32,74,46,41,82,9,0
29,34,98,75,97,41,48,60,5,78,1
18,83,16,12,87,90,18,27,29,29,0
71,34,68,12,28,21,36,50,67,25,0
46,62,75,39,78,27,62,51,58,58,1
74,59,89,70,54,13,20,22,40,30,0
75,63,32,61,2,93,18,24,82,48,0
4,22,94,85,79,55,69,62,26,18,0
65,77,84,92,6,7,54,90,28,87,1
77,61,79,66,33,2,81,27,13,68,0
35,5,83,97,28,61,97,94,51,16,0
75,49,5,13,90,30,42,54,51,33,0
57,26,41,75,20,80,87,25,83,95,0
94,20,42,42,41,40,77,26,92,32,1
62,78,85,72,97,22,51,48,18,40,1
77,37,51,56,6,41,50,23,87,95,0
4,74,22,23,74,23,18,11,86,38,1
59,99,42,60,58,3,12,14,75,49,1
21,43,89,45,77,43,13,62,36,55,0
32,12,65,33,16,94,62,7,81,8,0
14,25,34,27,6,76,30,92,54,12,0
37,49,83,57,70,41,48,22,75,28,0
85,58,83,38,97,45,14,25,88,57,1
27,25,69,30,54,0,86,95,73,10,0
4,18,3,25,72,87,71,6,6,85,0
87,55,31,57,37,13,4,95,66,48,0
70,73,47,61,93,63,67,4,78,5,0
41,62,40,91,50,94,65,74,82,40,0
42,77,77,39,95,20,70,23,2,77,1
83,24,77,60,46,77,59,95,21,33,1
22,21,86,87,77,64,38,39,53,54,0
18,3,12,52,88,33,79,59,19,7,0
70,35,37,71,24,68,49,89,44,9,0
21,70,93,34,37,31,17,17,56,80,0
52,23,61,55,27,50,66,24,10,24,0
24,65,79,90,3,13,7,16,89,9,0
90,53,34,2,15,56,95,42,91,26,0
52,90,29,53,69,53,36,90,75,93,1
73,61,16,2,97,56,82,70,83,38,0
7,53,82,44,19,42,50,64,12,26,0
66,17,69,13,43,64,41,84,63,98,0
93,97,57,86,55,76,63,69,45,17,1
96,89,86,61,28,91,44,75,2,90,0
9,16,91,97,26,53,51,92,58,57,1
65,65,36,26,85,47,63,80,44,25,1
29,77,61,38,57,8,94,94,65,3,1
90,39,85,81,15,3,48,14,26,40,1
93,98,97,53,79,70,37,21,62,72,0
30,69,15,74,77,40,21,6,99,28,1
98,91,53,66,78,99,72,80,75,19,0
37,32,22,79,37,21,99,44,42,31,1
5,83,26,70,19,75,71,64,28,53,0
42,22,72,35,36,92,12,83,74,23,0
85,46,13,59,13,75,65,54,84,17,1
71,60,10,57,79,57,72,0,94,36,0
24,1,41,61,6,22,83,34,57,28,0
50,20,11,32,74,57,79,7,41,77,0
6,87,4,82,3,71,55,60,41,84,0
41,99,22,40,67,1,5,50,54,73,1
88,44,41,61,15,58,92,10,49,89,0
56,92,31,82,84,27,43,93,42,32,0
69,87,81,5,73,91,17,34,19,69,0
18,96,51,59,53,80,92,56,98,19,1
83,94,31,19,13,34,98,84,59,95,1
54,56,48,94,45,95,80,79,25,69,0
52,71,66,11,96,51,51,5,73,71,0
53,53,33,80,59,10,21,18,45,79,0
65,5,20,12,44,44,54,48,17,60,0
59,99,98,20,7,68,56,78,1,6,1
63,46,19,83,57,67,26,11,58,1,0
36,42,73,71,85,88,20,70,73,52,0
2,36,63,69,98,66,0,28,67,71,1
19,5,72,15,79,15,69,78,5,48,0
27,27,58,99,88,41,34,43,11,93,1
89,31,16,16,9,58,55,37,34,6,1
93,59,66,57,4,16,57,40,31,37,0
54,79,52,23,14,24,48,90,30,21,0
94,89,52,51,32,67,69,71,57,23,0
66,81,10,54,98,44,63,5,29,54,0
40,66,45,7,41,54,67,96,14,35,0
26,43,15,63,64,18,19,88,74,99,1
12,14,11,42,7,16,27,80,47,19,0
79,83,49,8,36,3,37,21,20,3,1
20,28,30,63,62,99,90,82,95,99,0
72,91,66,90,40,16,26,83,70,94,0
17,7,60,10,82,49,15,52,50,30,0
92,45,58,10,79,41,90,57,21,38,0
92,71,82,42,81,45,28,36,1,73,0
3,46,50,3,51,79,73,24,63,36,1
97,1,12,91,51,18,2,15,95,64,1
9,88,73,90,16,0,32,63,16,80,0
54,74,36,71,73,21,45,24,24,82,1
8,14,75,91,25,46,59,59,30,66,0
41,60,52,50,0,93,46,40,24,1,0
5,29,44,9,12,36,13,36,8,16,1
35,3,58,52,79,8,75,16,9,11,0
87,54,40,62,55,74,52,8,8,77,0
40,8,35,15,11,26,92,65,14,61,1
78,0,97,40,78,56,51,93,82,41,1
71,18,69,6,19,41,12,28,86,54,1
76,61,84,76,64,72,3,22,33,66,1
19,92,93,20,25,42,1,46,87,88,0
93,9,74,94,83,95,13,17,44,71,1
52,13,91,57,3,68,51,35,72,2,1
2,93,46,69,94,43,77,33,34,16,1
12,38,53,94,19,49,55,59,9,81,0
79,35,85,23,17,75,18,86,15,0,1
84,18,72,51,24,95,99,47,58,2,1
22,45,2,49,84,33,87,99,26,23,1
21,32,84,81,11,93,40,78,63,39,1
